SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-28-2018,Condo/Co-op,932 Kirkham St,San Francisco,CA,94122,1375000,2,1.0,Inner Sunset,1150,,1946,17,1196,300,Sold,,,http://www.redfin.com/CA/San-Francisco/932-Kirkham-St-94122/home/17305640,San Francisco MLS,472847,N,Y,37.760269,-122.4709829
PAST SALE,July-13-2018,Condo/Co-op,855 Folsom St #126,San Francisco,CA,94107,870000,1,1.5,Yerba Buena,847,,2001,2,1027,554,Sold,,,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-126/home/12397850,San Francisco MLS,472777,N,Y,37.7810153,-122.4020927
PAST SALE,June-20-2018,Single Family Residential,3060 26th St,San Francisco,CA,94110,1615000,3,1.5,Inner Mission,1930,1036,1931,25,837,,Sold,,,http://www.redfin.com/CA/San-Francisco/3060-26th-St-94110/home/738665,San Francisco MLS,470197,N,Y,37.7495908,-122.4110483
PAST SALE,June-26-2018,Single Family Residential,760 Felton St,San Francisco,CA,94134,1410000,3,1.0,Portola,1580,3500,1938,19,892,,Sold,,,http://www.redfin.com/CA/San-Francisco/760-Felton-St-94134/home/1016433,San Francisco MLS,470957,N,Y,37.7282406,-122.412161
PAST SALE,July-2-2018,Single Family Residential,2598 Diamond St,San Francisco,CA,94131,1650000,3,2.0,Glen Park,1390,2178,1924,13,1187,,Sold,,,http://www.redfin.com/CA/San-Francisco/2598-Diamond-St-94131/home/807053,San Francisco MLS,471683,N,Y,37.7373713,-122.4348576
PAST SALE,June-27-2018,Condo/Co-op,2501 Harrison St #1,San Francisco,CA,94110,1550000,2,2.5,Inner Mission,1550,,2001,18,1000,409,Sold,,,http://www.redfin.com/CA/San-Francisco/2501-Harrison-St-94110/unit-1/home/1424598,San Francisco MLS,471580,N,Y,37.7571963,-122.4119508
PAST SALE,July-2-2018,Condo/Co-op,4483 23rd St #4,San Francisco,CA,94114,1050000,2,1.0,Noe Valley,924,,1968,13,1136,250,Sold,,,http://www.redfin.com/CA/San-Francisco/4483-23rd-St-94114/unit-4/home/17306319,San Francisco MLS,471432,N,Y,37.7521835,-122.4422341
PAST SALE,July-6-2018,Condo/Co-op,1701 Grove St #4,San Francisco,CA,94117,940000,2,1.0,North Panhandle,,,1913,9,,383,Sold,,,http://www.redfin.com/CA/San-Francisco/1701-Grove-St-94117/unit-4/home/12127061,San Francisco MLS,471743,N,Y,37.774933,-122.4447554
PAST SALE,July-9-2018,Single Family Residential,418 Victoria St,San Francisco,CA,94132,1300000,3,2.0,Merced Heights,1448,2500,1948,6,898,,Sold,,,http://www.redfin.com/CA/San-Francisco/418-Victoria-St-94132/home/1793561,San Francisco MLS,471624,N,Y,37.7183081,-122.4651895
PAST SALE,June-22-2018,Condo/Co-op,201 Folsom St Unit 28B,San Francisco,CA,94105,1855000,2,2.0,South Beach,1187,,2018,23,1563,1110,Sold,,,http://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-28B/home/144064143,San Francisco MLS,469509,N,Y,37.7886997,-122.39226
