,0
0,"182 32nd Ave, San Francisco, CA 94121 "
1,5 beds
2,3.5 baths
3,"4,700 sqft"
4," $6,750,000  "
5, 07/11/18  
6,Single Family
7,1916
8,Forced air
9,None
10,2 spaces
11,"3,598 sqft"
12,"3981 Alemany Blvd APT 219, San Francisco, CA 94132 "
13,2 beds
14,2 baths
15,968 sqft
16," $800,000  "
17, 07/10/18  
18,Condo
19,2002
20,Forced air
21,Central
22,No Data
23,$497/month
24,"225 Bay St APT 203, San Francisco, CA 94133 "
25,2 beds
26,2 baths
27,850 sqft
28," $930,000  "
29, 07/10/18  
30,Condo
31,1979
32,No Data
33,No Data
34,No Data
35,$448/month
36,"1542 24th Ave, San Francisco, CA 94122 "
37,2 beds
38,1 bath
39,"1,500 sqft"
40," $1,575,000  "
41, 07/10/18  
42,Single Family
43,1939
44,Other
45,Central
46,2 spaces
47,"3,049 sqft"
48,"1846 43rd Ave, San Francisco, CA 94122 "
49,3 beds
50,1 bath
51,"1,214 sqft"
52," $1,159,900  "
53, 07/10/18  
54,Single Family
55,1945
56,Forced air
57,Central
58,No Data
59,"3,049 sqft"
60,"855 Folsom St APT 940, San Francisco, CA 94107 "
61,1 bed
62,2 baths
63,"1,050 sqft"
64," $1,075,000  "
65, 07/10/18  
66,Condo
67,2001
68,No Data
69,No Data
70,1 space
71,$533/month
72,"92 Cameo Way, San Francisco, CA 94131 "
73,Studio
74,-- baths
75,"3,480 sqft"
76," $2,350,000  "
77, 07/10/18  
78,Multi Family
79,1965
80,Forced air
81,Central
82,No Data
83,No Data
84,"4225 Cesar Chavez St, San Francisco, CA 94131 "
85,6 beds
86,6 baths
87,"3,964 sqft"
88," $1,870,000  "
89, 07/09/18  
90,Multi Family
91,No Data
92,No Data
93,No Data
94,No Data
95,No Data
96,"650 Mangels Ave, San Francisco, CA 94127 "
97,3 beds
98,3 baths
99,"1,686 sqft"
100," $1,425,000  "
101, 07/09/18  
102,Single Family
103,1900
104,Forced air
105,Central
